category,name,prompt,negative,my prompt,my prefix,my type,my lookup,my negative,my name,my number,my seed mod,calculated seed,skip
postapocalyptic-realistic-isometric,141-sm-dwelling-postapocalyptic-realistic-isometric-1,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,141,0,1,
postapocalyptic-realistic-isometric,142-sm-dwelling-postapocalyptic-realistic-isometric-2,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,142,1,2,
postapocalyptic-realistic-isometric,143-sm-dwelling-postapocalyptic-realistic-isometric-3,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,143,2,3,
postapocalyptic-realistic-isometric,144-sm-dwelling-postapocalyptic-realistic-isometric-4,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,144,3,4,
postapocalyptic-realistic-isometric,145-sm-dwelling-postapocalyptic-realistic-isometric-5,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,145,4,5,
postapocalyptic-realistic-isometric,146-sm-dwelling-postapocalyptic-realistic-isometric-6,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,146,5,6,
postapocalyptic-realistic-isometric,147-sm-dwelling-postapocalyptic-realistic-isometric-7,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,147,6,7,
postapocalyptic-realistic-isometric,148-sm-dwelling-postapocalyptic-realistic-isometric-8,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,148,7,8,
postapocalyptic-realistic-isometric,149-sm-dwelling-postapocalyptic-realistic-isometric-9,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,149,8,9,
postapocalyptic-realistic-isometric,150-sm-dwelling-postapocalyptic-realistic-isometric-10,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,150,9,10,
postapocalyptic-realistic-isometric,151-sm-dwelling-postapocalyptic-realistic-isometric-1,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,151,0,1,
postapocalyptic-realistic-isometric,152-sm-dwelling-postapocalyptic-realistic-isometric-2,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,152,1,2,
postapocalyptic-realistic-isometric,153-sm-dwelling-postapocalyptic-realistic-isometric-3,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,153,2,3,
postapocalyptic-realistic-isometric,154-sm-dwelling-postapocalyptic-realistic-isometric-4,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,154,3,4,
postapocalyptic-realistic-isometric,155-sm-dwelling-postapocalyptic-realistic-isometric-5,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,155,4,5,
postapocalyptic-realistic-isometric,156-sm-dwelling-postapocalyptic-realistic-isometric-6,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,156,5,6,
postapocalyptic-realistic-isometric,157-sm-dwelling-postapocalyptic-realistic-isometric-7,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,157,6,7,
postapocalyptic-realistic-isometric,158-sm-dwelling-postapocalyptic-realistic-isometric-8,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,158,7,8,
postapocalyptic-realistic-isometric,159-sm-dwelling-postapocalyptic-realistic-isometric-9,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,159,8,9,
postapocalyptic-realistic-isometric,160-sm-dwelling-postapocalyptic-realistic-isometric-10,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,160,9,10,
postapocalyptic-realistic-isometric,161-sm-dwelling-postapocalyptic-realistic-isometric-1,"small hovel, exterior isometric, RPG style, post apocalyptic, steampunk, decayed rusted crumbling, computer game, white background","split screen, interior, cartoon, collection",small hovel,small,hovel,dwelling,,sm-dwelling,161,0,1,
