category,name,prompt,negative,my prompt,my prefix,my type,my lookup,my negative,my name,my number,my seed mod,calculated seed,skip
fantasy-cartoon-exterior,71-sm-dwelling-fantasy-cartoony-isometric-1,"small cottage, exterior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoon, anime","split screen, interior, realistic, collection, trees+++",small cottage,small,cottage,dwelling,,sm-dwelling,71,0,1,
fantasy-cartoon-exterior,72-sm-dwelling-fantasy-cartoony-isometric-2,"small cottage, exterior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoon, anime","split screen, interior, realistic, collection, trees+++",small cottage,small,cottage,dwelling,,sm-dwelling,72,1,2,
fantasy-cartoon-exterior,73-sm-dwelling-fantasy-cartoony-isometric-3,"small cottage, exterior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoon, anime","split screen, interior, realistic, collection, trees+++",small cottage,small,cottage,dwelling,,sm-dwelling,73,2,3,
fantasy-cartoon-exterior,74-sm-dwelling-fantasy-cartoony-isometric-4,"small cottage, exterior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoon, anime","split screen, interior, realistic, collection, trees+++",small cottage,small,cottage,dwelling,,sm-dwelling,74,3,4,
fantasy-cartoon-exterior,75-sm-dwelling-fantasy-cartoony-isometric-5,"small cottage, exterior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoon, anime","split screen, interior, realistic, collection, trees+++",small cottage,small,cottage,dwelling,,sm-dwelling,75,4,5,
fantasy-cartoon-exterior,76-sm-dwelling-fantasy-cartoony-isometric-6,"small cottage, exterior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoon, anime","split screen, interior, realistic, collection, trees+++",small cottage,small,cottage,dwelling,,sm-dwelling,76,5,6,
fantasy-cartoon-exterior,77-sm-dwelling-fantasy-cartoony-isometric-7,"small cottage, exterior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoon, anime","split screen, interior, realistic, collection, trees+++",small cottage,small,cottage,dwelling,,sm-dwelling,77,6,7,
fantasy-cartoon-exterior,78-sm-dwelling-fantasy-cartoony-isometric-8,"small cottage, exterior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoon, anime","split screen, interior, realistic, collection, trees+++",small cottage,small,cottage,dwelling,,sm-dwelling,78,7,8,
fantasy-cartoon-exterior,79-sm-dwelling-fantasy-cartoony-isometric-9,"small cottage, exterior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoon, anime","split screen, interior, realistic, collection, trees+++",small cottage,small,cottage,dwelling,,sm-dwelling,79,8,9,
fantasy-cartoon-exterior,80-sm-dwelling-fantasy-cartoony-isometric-10,"small cottage, exterior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoon, anime","split screen, interior, realistic, collection, trees+++",small cottage,small,cottage,dwelling,,sm-dwelling,80,9,10,
