category,name,prompt,negative,my prompt,my prefix,my type,my lookup,my negative,my name,my number,my seed mod,calculated seed,skip
fantasy-cartoon-interior,351-sm-dwelling-fantasy-cartoony-isometric-1,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,351,0,1,
fantasy-cartoon-interior,352-sm-dwelling-fantasy-cartoony-isometric-2,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,352,1,2,
fantasy-cartoon-interior,353-sm-dwelling-fantasy-cartoony-isometric-3,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,353,2,3,
fantasy-cartoon-interior,354-sm-dwelling-fantasy-cartoony-isometric-4,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,354,3,4,
fantasy-cartoon-interior,355-sm-dwelling-fantasy-cartoony-isometric-5,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,355,4,5,
fantasy-cartoon-interior,356-sm-dwelling-fantasy-cartoony-isometric-6,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,356,5,6,
fantasy-cartoon-interior,357-sm-dwelling-fantasy-cartoony-isometric-7,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,357,6,7,
fantasy-cartoon-interior,358-sm-dwelling-fantasy-cartoony-isometric-8,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,358,7,8,
fantasy-cartoon-interior,359-sm-dwelling-fantasy-cartoony-isometric-9,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,359,8,9,
fantasy-cartoon-interior,360-sm-dwelling-fantasy-cartoony-isometric-10,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,360,9,10,
fantasy-cartoon-interior,361-sm-dwelling-fantasy-cartoony-isometric-1,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,361,0,1,
fantasy-cartoon-interior,362-sm-dwelling-fantasy-cartoony-isometric-2,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,362,1,2,
fantasy-cartoon-interior,363-sm-dwelling-fantasy-cartoony-isometric-3,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,363,2,3,
fantasy-cartoon-interior,364-sm-dwelling-fantasy-cartoony-isometric-4,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,364,3,4,
fantasy-cartoon-interior,365-sm-dwelling-fantasy-cartoony-isometric-5,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,365,4,5,
fantasy-cartoon-interior,366-sm-dwelling-fantasy-cartoony-isometric-6,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,366,5,6,
fantasy-cartoon-interior,367-sm-dwelling-fantasy-cartoony-isometric-7,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,367,6,7,
fantasy-cartoon-interior,368-sm-dwelling-fantasy-cartoony-isometric-8,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,368,7,8,
fantasy-cartoon-interior,369-sm-dwelling-fantasy-cartoony-isometric-9,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,369,8,9,
fantasy-cartoon-interior,370-sm-dwelling-fantasy-cartoony-isometric-10,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,370,9,10,
fantasy-cartoon-interior,371-sm-dwelling-fantasy-cartoony-isometric-1,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,371,0,1,
fantasy-cartoon-interior,372-sm-dwelling-fantasy-cartoony-isometric-2,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,372,1,2,
fantasy-cartoon-interior,373-sm-dwelling-fantasy-cartoony-isometric-3,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,373,2,3,
fantasy-cartoon-interior,374-sm-dwelling-fantasy-cartoony-isometric-4,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,374,3,4,
fantasy-cartoon-interior,375-sm-dwelling-fantasy-cartoony-isometric-5,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,375,4,5,
fantasy-cartoon-interior,376-sm-dwelling-fantasy-cartoony-isometric-6,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,376,5,6,
fantasy-cartoon-interior,377-sm-dwelling-fantasy-cartoony-isometric-7,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,377,6,7,
fantasy-cartoon-interior,378-sm-dwelling-fantasy-cartoony-isometric-8,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,378,7,8,
fantasy-cartoon-interior,379-sm-dwelling-fantasy-cartoony-isometric-9,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,379,8,9,
fantasy-cartoon-interior,380-sm-dwelling-fantasy-cartoony-isometric-10,"small cottage, interior isometric, Disney style, RPG style, cartoony, DnD, fantasy, computer game, white background, cartoony, cartoon, anime","split screen, exterior, realistic, collection",small cottage,small,cottage,dwelling,,sm-dwelling,380,9,10,
