category,name,prompt,negative,my prompt,my prefix,my type,my lookup,my negative,my name,my number,my seed mod,calculated seed,skip
sciencefiction-realistic-isometric,281-sm-dwelling-sciencefiction-realistic-isometric-1,"small dwelling, exterior isometric, shadowrun, ultra realistic, futuristic, cyberpunk, computer game, science fiction, white background","split screen, interior, cartoon, collection",small dwelling,small,dwelling,dwelling,,sm-dwelling,281,0,1,
sciencefiction-realistic-isometric,282-sm-dwelling-sciencefiction-realistic-isometric-2,"small dwelling, exterior isometric, shadowrun, ultra realistic, futuristic, cyberpunk, computer game, science fiction, white background","split screen, interior, cartoon, collection",small dwelling,small,dwelling,dwelling,,sm-dwelling,282,1,2,
sciencefiction-realistic-isometric,283-sm-dwelling-sciencefiction-realistic-isometric-3,"small dwelling, exterior isometric, shadowrun, ultra realistic, futuristic, cyberpunk, computer game, science fiction, white background","split screen, interior, cartoon, collection",small dwelling,small,dwelling,dwelling,,sm-dwelling,283,2,3,
sciencefiction-realistic-isometric,284-sm-dwelling-sciencefiction-realistic-isometric-4,"small dwelling, exterior isometric, shadowrun, ultra realistic, futuristic, cyberpunk, computer game, science fiction, white background","split screen, interior, cartoon, collection",small dwelling,small,dwelling,dwelling,,sm-dwelling,284,3,4,
sciencefiction-realistic-isometric,285-sm-dwelling-sciencefiction-realistic-isometric-5,"small dwelling, exterior isometric, shadowrun, ultra realistic, futuristic, cyberpunk, computer game, science fiction, white background","split screen, interior, cartoon, collection",small dwelling,small,dwelling,dwelling,,sm-dwelling,285,4,5,
sciencefiction-realistic-isometric,286-sm-dwelling-sciencefiction-realistic-isometric-6,"small dwelling, exterior isometric, shadowrun, ultra realistic, futuristic, cyberpunk, computer game, science fiction, white background","split screen, interior, cartoon, collection",small dwelling,small,dwelling,dwelling,,sm-dwelling,286,5,6,
sciencefiction-realistic-isometric,287-sm-dwelling-sciencefiction-realistic-isometric-7,"small dwelling, exterior isometric, shadowrun, ultra realistic, futuristic, cyberpunk, computer game, science fiction, white background","split screen, interior, cartoon, collection",small dwelling,small,dwelling,dwelling,,sm-dwelling,287,6,7,
sciencefiction-realistic-isometric,288-sm-dwelling-sciencefiction-realistic-isometric-8,"small dwelling, exterior isometric, shadowrun, ultra realistic, futuristic, cyberpunk, computer game, science fiction, white background","split screen, interior, cartoon, collection",small dwelling,small,dwelling,dwelling,,sm-dwelling,288,7,8,
sciencefiction-realistic-isometric,289-sm-dwelling-sciencefiction-realistic-isometric-9,"small dwelling, exterior isometric, shadowrun, ultra realistic, futuristic, cyberpunk, computer game, science fiction, white background","split screen, interior, cartoon, collection",small dwelling,small,dwelling,dwelling,,sm-dwelling,289,8,9,
sciencefiction-realistic-isometric,290-sm-dwelling-sciencefiction-realistic-isometric-10,"small dwelling, exterior isometric, shadowrun, ultra realistic, futuristic, cyberpunk, computer game, science fiction, white background","split screen, interior, cartoon, collection",small dwelling,small,dwelling,dwelling,,sm-dwelling,290,9,10,
